--2022-06-03 13:05:33--  http://10.1.0.1/random
Connecting to 10.1.0.1:80... connected.
HTTP request sent, awaiting response... 200 OK
Length: 10485760 (10M) [application/octet-stream]
Saving to: ‘random.1’

     0K .......... .......... .......... .......... ..........  0%  808K 13s
    50K .......... .......... .......... .......... ..........  0% 1.58M 9s
   100K .......... .......... .......... .......... ..........  1% 2.84M 7s
   150K .......... .......... .......... .......... ..........  1% 1.87M 7s
   200K .......... .......... .......... .......... ..........  2% 2.21M 6s
   250K .......... .......... .......... .......... ..........  2% 2.28M 6s
   300K .......... .......... .......... .......... ..........  3% 2.30M 6s
   350K .......... .......... .......... .......... ..........  3% 1.97M 6s
   400K .......... .......... .......... .......... ..........  4% 2.61M 5s
   450K .......... .......... .......... .......... ..........  4% 2.22M 5s
   500K .......... .......... .......... .......... ..........  5% 2.22M 5s
   550K .......... .......... .......... .......... ..........  5% 2.22M 5s
   600K .......... .......... .......... .......... ..........  6% 1.67M 5s
   650K .......... .......... .......... .......... ..........  6% 3.00M 5s
   700K .......... .......... .......... .......... ..........  7% 2.30M 5s
   750K .......... .......... .......... .......... ..........  7% 2.04M 5s
   800K .......... .......... .......... .......... ..........  8% 2.56M 5s
   850K .......... .......... .......... .......... ..........  8% 1.73M 5s
   900K .......... .......... .......... .......... ..........  9% 3.15M 5s
   950K .......... .......... .......... .......... ..........  9% 1.93M 5s
  1000K .......... .......... .......... .......... .......... 10% 2.32M 4s
  1050K .......... .......... .......... .......... .......... 10% 2.45M 4s
  1100K .......... .......... .......... .......... .......... 11% 1.98M 4s
  1150K .......... .......... .......... .......... .......... 11% 2.60M 4s
  1200K .......... .......... .......... .......... .......... 12% 1.79M 4s
  1250K .......... .......... .......... .......... .......... 12% 2.95M 4s
  1300K .......... .......... .......... .......... .......... 13% 2.24M 4s
  1350K .......... .......... .......... .......... .......... 13% 2.11M 4s
  1400K .......... .......... .......... .......... .......... 14% 2.40M 4s
  1450K .......... .......... .......... .......... .......... 14% 1.84M 4s
  1500K .......... .......... .......... .......... .......... 15% 2.75M 4s
  1550K .......... .......... .......... .......... .......... 15% 2.33M 4s
  1600K .......... .......... .......... .......... .......... 16% 2.15M 4s
  1650K .......... .......... .......... .......... .......... 16% 2.28M 4s
  1700K .......... .......... .......... .......... .......... 17% 2.00M 4s
  1750K .......... .......... .......... .......... .......... 17% 2.61M 4s
  1800K .......... .......... .......... .......... .......... 18% 1.71M 4s
  1850K .......... .......... .......... .......... .......... 18% 2.80M 4s
  1900K .......... .......... .......... .......... .......... 19% 2.48M 4s
  1950K .......... .......... .......... .......... .......... 19% 1.97M 4s
  2000K .......... .......... .......... .......... .......... 20% 2.64M 4s
  2050K .......... .......... .......... .......... .......... 20% 1.57M 4s
  2100K .......... .......... .......... .......... .......... 20% 2.62M 4s
  2150K .......... .......... .......... .......... .......... 21% 3.07M 4s
  2200K .......... .......... .......... .......... .......... 21% 2.24M 4s
  2250K .......... .......... .......... .......... .......... 22% 2.16M 4s
  2300K .......... .......... .......... .......... .......... 22% 2.34M 4s
  2350K .......... .......... .......... .......... .......... 23% 2.06M 4s
  2400K .......... .......... .......... .......... .......... 23% 2.55M 4s
  2450K .......... .......... .......... .......... .......... 24% 1.78M 4s
  2500K .......... .......... .......... .......... .......... 24% 2.97M 4s
  2550K .......... .......... .......... .......... .......... 25% 2.25M 3s
  2600K .......... .......... .......... .......... .......... 25% 1.98M 3s
  2650K .......... .......... .......... .......... .......... 26% 2.62M 3s
  2700K .......... .......... .......... .......... .......... 26% 2.25M 3s
  2750K .......... .......... .......... .......... .......... 27% 2.03M 3s
  2800K .......... .......... .......... .......... .......... 27% 2.33M 3s
  2850K .......... .......... .......... .......... .......... 28% 1.96M 3s
  2900K .......... .......... .......... .......... .......... 28% 2.57M 3s
  2950K .......... .......... .......... .......... .......... 29% 1.86M 3s
  3000K .......... .......... .......... .......... .......... 29% 2.86M 3s
  3050K .......... .......... .......... .......... .......... 30% 2.25M 3s
  3100K .......... .......... .......... .......... .......... 30% 2.05M 3s
  3150K .......... .......... .......... .......... .......... 31% 2.52M 3s
  3200K .......... .......... .......... .......... .......... 31% 1.73M 3s
  3250K .......... .......... .......... .......... .......... 32% 3.24M 3s
  3300K .......... .......... .......... .......... .......... 32% 2.24M 3s
  3350K .......... .......... .......... .......... .......... 33% 2.07M 3s
  3400K .......... .......... .......... .......... .......... 33% 2.18M 3s
  3450K .......... .......... .......... .......... .......... 34% 2.25M 3s
  3500K .......... .......... .......... .......... .......... 34% 2.26M 3s
  3550K .......... .......... .......... .......... .......... 35% 2.27M 3s
  3600K .......... .......... .......... .......... .......... 35% 2.01M 3s
  3650K .......... .......... .......... .......... .......... 36% 2.46M 3s
  3700K .......... .......... .......... .......... .......... 36% 1.94M 3s
  3750K .......... .......... .......... .......... .......... 37% 2.66M 3s
  3800K .......... .......... .......... .......... .......... 37% 2.25M 3s
  3850K .......... .......... .......... .......... .......... 38% 2.20M 3s
  3900K .......... .......... .......... .......... .......... 38% 2.04M 3s
  3950K .......... .......... .......... .......... .......... 39% 1.93M 3s
  4000K .......... .......... .......... .......... .......... 39% 2.55M 3s
  4050K .......... .......... .......... .......... .......... 40% 2.25M 3s
  4100K .......... .......... .......... .......... .......... 40% 1.81M 3s
  4150K .......... .......... .......... .......... .......... 41% 2.54M 3s
  4200K .......... .......... .......... .......... .......... 41% 2.23M 3s
  4250K .......... .......... .......... .......... .......... 41% 2.12M 3s
  4300K .......... .......... .......... .......... .......... 42% 2.22M 3s
  4350K .......... .......... .......... .......... .......... 42% 2.14M 3s
  4400K .......... .......... .......... .......... .......... 43% 2.38M 3s
  4450K .......... .......... .......... .......... .......... 43% 1.86M 3s
  4500K .......... .......... .......... .......... .......... 44% 2.84M 3s
  4550K .......... .......... .......... .......... .......... 44% 2.07M 3s
  4600K .......... .......... .......... .......... .......... 45% 2.20M 3s
  4650K .......... .......... .......... .......... .......... 45% 2.33M 2s
  4700K .......... .......... .......... .......... .......... 46% 2.01M 2s
  4750K .......... .......... .......... .......... .......... 46% 2.30M 2s
  4800K .......... .......... .......... .......... .......... 47% 2.23M 2s
  4850K .......... .......... .......... .......... .......... 47% 1.88M 2s
  4900K .......... .......... .......... .......... .......... 48% 2.40M 2s
  4950K .......... .......... .......... .......... .......... 48% 1.84M 2s
  5000K .......... .......... .......... .......... .......... 49% 2.70M 2s
  5050K .......... .......... .......... .......... .......... 49% 2.23M 2s
  5100K .......... .......... .......... .......... .......... 50% 2.04M 2s
  5150K .......... .......... .......... .......... .......... 50% 2.26M 2s
  5200K .......... .......... .......... .......... .......... 51% 1.81M 2s
  5250K .......... .......... .......... .......... .......... 51% 2.57M 2s
  5300K .......... .......... .......... .......... .......... 52% 2.27M 2s
  5350K .......... .......... .......... .......... .......... 52% 2.10M 2s
  5400K .......... .......... .......... .......... .......... 53% 2.26M 2s
  5450K .......... .......... .......... .......... .......... 53% 1.97M 2s
  5500K .......... .......... .......... .......... .......... 54% 2.66M 2s
  5550K .......... .......... .......... .......... .......... 54% 2.24M 2s
  5600K .......... .......... .......... .......... .......... 55% 2.16M 2s
  5650K .......... .......... .......... .......... .......... 55% 2.29M 2s
  5700K .......... .......... .......... .......... .......... 56% 2.02M 2s
  5750K .......... .......... .......... .......... .......... 56% 2.45M 2s
  5800K .......... .......... .......... .......... .......... 57% 2.22M 2s
  5850K .......... .......... .......... .......... .......... 57% 2.27M 2s
  5900K .......... .......... .......... .......... .......... 58% 2.22M 2s
  5950K .......... .......... .......... .......... .......... 58% 2.06M 2s
  6000K .......... .......... .......... .......... .......... 59% 2.46M 2s
  6050K .......... .......... .......... .......... .......... 59% 1.97M 2s
  6100K .......... .......... .......... .......... .......... 60% 2.59M 2s
  6150K .......... .......... .......... .......... .......... 60% 2.21M 2s
  6200K .......... .......... .......... .......... .......... 61% 2.22M 2s
  6250K .......... .......... .......... .......... .......... 61% 2.27M 2s
  6300K .......... .......... .......... .......... .......... 62% 2.11M 2s
  6350K .......... .......... .......... .......... .......... 62% 2.42M 2s
  6400K .......... .......... .......... .......... .......... 62% 1.85M 2s
  6450K .......... .......... .......... .......... .......... 63% 2.89M 2s
  6500K .......... .......... .......... .......... .......... 63% 2.23M 2s
  6550K .......... .......... .......... .......... .......... 64% 2.16M 2s
  6600K .......... .......... .......... .......... .......... 64% 2.32M 2s
  6650K .......... .......... .......... .......... .......... 65% 1.98M 2s
  6700K .......... .......... .......... .......... .......... 65% 2.44M 2s
  6750K .......... .......... .......... .......... .......... 66% 1.65M 2s
  6800K .......... .......... .......... .......... .......... 66% 2.93M 2s
  6850K .......... .......... .......... .......... .......... 67% 2.27M 1s
